Num Topics,Passes,Iterations,Coherence
5,50,100,-2.3498220627646687
10,50,100,-1.9505224848811078
15,50,100,-3.173247725505799
20,50,100,-3.6279321347373448
25,50,100,-3.626772347440272
30,50,100,-3.774642284074354
35,50,100,-3.4938741254678143
40,50,100,-3.6702044274078345
45,50,100,-3.994523480331423
50,50,100,-4.179869004869018
55,50,100,-3.6590449559297817
60,50,100,-4.014382438166954
65,50,100,-3.916903477164098
70,50,100,-3.9801996623022506
75,50,100,-4.181283986676855
80,50,100,-3.7744187841456416
85,50,100,-3.970753033141792
90,50,100,-3.712907762695022
95,50,100,-3.6561909501098753
100,50,100,-3.4981621481162946
